Test,RunTime(ms),Throughput(ops/sec),TOTAL_GCS_G1_Young_Generation_Count,TOTAL_GC_TIME_G1_Young_Generation_Time(ms),TOTAL_GC_TIME_%_G1_Young_Generation_Time(%),TOTAL_GCS_G1_Old_Generation_Count,TOTAL_GC_TIME_G1_Old_Generation_Time(ms),TOTAL_GC_TIME_%_G1_Old_Generation_Time(%),TOTAL_GCs_Count,TOTAL_GC_TIME_Time(ms),TOTAL_GC_TIME_%_Time(%),CLEANUP_Operations,CLEANUP_AverageLatency(us),CLEANUP_MinLatency(us),CLEANUP_MaxLatency(us),CLEANUP_95thPercentileLatency(us),CLEANUP_99thPercentileLatency(us),INSERT_Operations,INSERT_AverageLatency(us),INSERT_MinLatency(us),INSERT_MaxLatency(us),INSERT_95thPercentileLatency(us),INSERT_99thPercentileLatency(us),INSERT_Return=OK
1,3293,15183.723048891588,4,5,0.1518372304889159,0,0,0.0,4,5,0.1518372304889159,1,453.0,453,453,453,453,50000,63.5704,44,4607,87,150,50000
2,2429,20584.60271716756,4,7,0.2881844380403458,0,0,0.0,4,7,0.2881844380403458,1,436.0,436,436,436,436,50000,46.58652,33,3087,71,110,50000
3,2363,21159.542953872195,4,6,0.25391451544646637,0,0,0.0,4,6,0.25391451544646637,1,446.0,446,446,446,446,50000,45.31492,34,3965,73,123,50000
4,2370,21097.04641350211,4,6,0.25316455696202533,0,0,0.0,4,6,0.25316455696202533,1,474.0,474,474,474,474,50000,45.33998,34,6991,71,117,50000
5,2308,21663.77816291161,4,6,0.25996533795493937,0,0,0.0,4,6,0.25996533795493937,1,440.0,440,440,440,440,50000,44.28754,34,3073,68,111,50000
6,2393,20894.27496865859,4,7,0.29251984956122024,0,0,0.0,4,7,0.29251984956122024,1,521.0,521,521,521,521,50000,45.87304,34,4803,70,110,50000
7,2445,20449.89775051125,4,7,0.28629856850715746,0,0,0.0,4,7,0.28629856850715746,1,450.0,450,450,450,450,50000,46.73172,34,5767,72,114,50000
8,2340,21367.521367521367,4,6,0.2564102564102564,0,0,0.0,4,6,0.2564102564102564,1,658.0,658,658,658,658,50000,44.92278,34,3585,67,113,50000
9,2351,21267.54572522331,4,8,0.340280731603573,0,0,0.0,4,8,0.340280731603573,1,859.0,859,859,859,859,50000,45.15134,34,4251,68,102,50000
10,2304,21701.38888888889,4,6,0.26041666666666663,0,0,0.0,4,6,0.26041666666666663,1,493.0,493,493,493,493,50000,44.20698,33,3707,81,109,50000
