Test,RunTime(ms),Throughput(ops/sec),TOTAL_GCS_G1_Young_Generation_Count,TOTAL_GC_TIME_G1_Young_Generation_Time(ms),TOTAL_GC_TIME_%_G1_Young_Generation_Time(%),TOTAL_GCS_G1_Old_Generation_Count,TOTAL_GC_TIME_G1_Old_Generation_Time(ms),TOTAL_GC_TIME_%_G1_Old_Generation_Time(%),TOTAL_GCs_Count,TOTAL_GC_TIME_Time(ms),TOTAL_GC_TIME_%_Time(%),READ_Operations,READ_AverageLatency(us),READ_MinLatency(us),READ_MaxLatency(us),READ_95thPercentileLatency(us),READ_99thPercentileLatency(us),READ_Return=OK,CLEANUP_Operations,CLEANUP_AverageLatency(us),CLEANUP_MinLatency(us),CLEANUP_MaxLatency(us),CLEANUP_95thPercentileLatency(us),CLEANUP_99thPercentileLatency(us)
1,798,62656.64160401002,3,4,0.5012531328320802,0,0,0.0,3,4,0.5012531328320802,50000,14.57664,10,4647,28,34,50000,1,427.0,427,427,427,427
2,874,57208.237986270025,3,5,0.5720823798627002,0,0,0.0,3,5,0.5720823798627002,50000,15.89828,10,9271,25,34,50000,1,429.0,429,429,429,429
3,838,59665.87112171837,3,5,0.5966587112171837,0,0,0.0,3,5,0.5966587112171837,50000,15.24144,11,4679,27,34,50000,1,399.0,399,399,399,399
4,782,63938.6189258312,3,4,0.5115089514066496,0,0,0.0,3,4,0.5115089514066496,50000,14.2829,10,4871,23,30,50000,1,406.0,406,406,406,406
5,855,58479.53216374269,3,5,0.5847953216374269,0,0,0.0,3,5,0.5847953216374269,50000,15.49964,11,8807,30,42,50000,1,397.0,397,397,397,397
6,708,70621.46892655367,3,4,0.5649717514124294,0,0,0.0,3,4,0.5649717514124294,50000,12.76594,10,4715,15,21,50000,1,395.0,395,395,395,395
7,857,58343.05717619603,3,5,0.5834305717619603,0,0,0.0,3,5,0.5834305717619603,50000,15.6367,10,4539,31,46,50000,1,434.0,434,434,434,434
8,804,62189.05472636816,3,5,0.6218905472636816,0,0,0.0,3,5,0.6218905472636816,50000,14.62294,10,5211,25,34,50000,1,542.0,542,542,542,542
9,813,61500.61500615006,3,5,0.6150061500615006,0,0,0.0,3,5,0.6150061500615006,50000,14.75822,10,4711,28,37,50000,1,400.0,400,400,400,400
10,777,64350.06435006435,3,4,0.5148005148005148,0,0,0.0,3,4,0.5148005148005148,50000,14.19828,11,5011,23,29,50000,1,390.0,390,390,390,390
