Test,RunTime(ms),Throughput(ops/sec),TOTAL_GCS_G1_Young_Generation_Count,TOTAL_GC_TIME_G1_Young_Generation_Time(ms),TOTAL_GC_TIME_%_G1_Young_Generation_Time(%),TOTAL_GCS_G1_Old_Generation_Count,TOTAL_GC_TIME_G1_Old_Generation_Time(ms),TOTAL_GC_TIME_%_G1_Old_Generation_Time(%),TOTAL_GCs_Count,TOTAL_GC_TIME_Time(ms),TOTAL_GC_TIME_%_Time(%),CLEANUP_Operations,CLEANUP_AverageLatency(us),CLEANUP_MinLatency(us),CLEANUP_MaxLatency(us),CLEANUP_95thPercentileLatency(us),CLEANUP_99thPercentileLatency(us),INSERT_Operations,INSERT_AverageLatency(us),INSERT_MinLatency(us),INSERT_MaxLatency(us),INSERT_95thPercentileLatency(us),INSERT_99thPercentileLatency(us),INSERT_Return=OK
1,14359,3482.136639041716,8,16,0.11142837244933491,0,0,0.0,8,16,0.11142837244933491,1,1578,1578,1578,1578,1578,50000,277.84762,53,71615,428,616,50000
2,14454,3459.2500345925005,8,15,0.10377750103777503,0,0,0.0,8,15,0.10377750103777503,1,2637,2636,2637,2637,2637,50000,277.1329,52,118847,427,592,50000
3,14274,3502.8723553313716,8,15,0.10508617065994115,0,0,0.0,8,15,0.10508617065994115,1,1695,1695,1695,1695,1695,50000,276.17412,52,81407,420,575,50000
4,14165,3529.827038475115,8,15,0.10589481115425345,0,0,0.0,8,15,0.10589481115425345,1,1484,1484,1484,1484,1484,50000,274.37386,53,66687,422,569,50000
5,14587,3427.7096044423115,8,15,0.10283128813326935,0,0,0.0,8,15,0.10283128813326935,1,1514,1514,1514,1514,1514,50000,282.12302,53,57759,432,569,50000
6,14184,3525.0987027636775,8,14,0.09870276367738298,0,0,0.0,8,14,0.09870276367738298,1,1877,1877,1877,1877,1877,50000,274.10386,53,59807,418,559,50000
7,14234,3512.7160320359703,8,13,0.09133061683293522,0,0,0.0,8,13,0.09133061683293522,1,1909,1909,1909,1909,1909,50000,275.39942,52,62815,425,580,50000
8,14337,3487.4799469903046,8,13,0.09067447862174793,0,0,0.0,8,13,0.09067447862174793,1,2091,2090,2091,2091,2091,50000,277.3483,53,57567,420,559,50000
9,14554,3435.481654527965,8,12,0.08245155970867116,0,0,0.0,8,12,0.08245155970867116,1,1841,1841,1841,1841,1841,50000,281.7229,54,67007,426,573,50000
10,14354,3483.3495889647484,8,13,0.09056708931308347,0,0,0.0,8,13,0.09056708931308347,1,1799,1799,1799,1799,1799,50000,277.8405,53,53311,419,564,50000
