Test,RunTime(ms),Throughput(ops/sec),TOTAL_GCS_G1_Young_Generation_Count,TOTAL_GC_TIME_G1_Young_Generation_Time(ms),TOTAL_GC_TIME_%_G1_Young_Generation_Time(%),TOTAL_GCS_G1_Old_Generation_Count,TOTAL_GC_TIME_G1_Old_Generation_Time(ms),TOTAL_GC_TIME_%_G1_Old_Generation_Time(%),TOTAL_GCs_Count,TOTAL_GC_TIME_Time(ms),TOTAL_GC_TIME_%_Time(%),CLEANUP_Operations,CLEANUP_AverageLatency(us),CLEANUP_MinLatency(us),CLEANUP_MaxLatency(us),CLEANUP_95thPercentileLatency(us),CLEANUP_99thPercentileLatency(us),INSERT_Operations,INSERT_AverageLatency(us),INSERT_MinLatency(us),INSERT_MaxLatency(us),INSERT_95thPercentileLatency(us),INSERT_99thPercentileLatency(us),INSERT_Return=OK
1,21356,2341.2624086907663,8,18,0.08428544671286758,0,0,0.0,8,18,0.08428544671286758,1,1474.0,1474,1474,1474,1474,50000,415.17748,53,63551,754,895,50000
2,22035,2269.117313365101,8,19,0.08622645790787384,0,0,0.0,8,19,0.08622645790787384,1,3215.0,3214,3215,3215,3215,50000,428.02412,53,56799,757,914,50000
3,19039,2626.1883502284786,8,16,0.08403802720731131,0,0,0.0,8,16,0.08403802720731131,1,2791.0,2790,2791,2791,2791,50000,369.25346,54,61823,670,862,50000
4,18094,2763.3469658450317,8,15,0.08290040897535095,0,0,0.0,8,15,0.08290040897535095,1,2057.0,2056,2057,2057,2057,50000,350.98644,53,57791,647,852,50000
5,19360,2582.6446280991736,8,17,0.0878099173553719,0,0,0.0,8,17,0.0878099173553719,1,2333.0,2332,2333,2333,2333,50000,376.164,54,70271,699,861,50000
6,18401,2717.243628063692,8,16,0.08695179609803816,0,0,0.0,8,16,0.08695179609803816,1,1769.0,1769,1769,1769,1769,50000,357.38994,54,91263,705,815,50000
7,20213,2473.655568198684,8,20,0.09894622272794737,0,0,0.0,8,20,0.09894622272794737,1,3153.0,3152,3153,3153,3153,50000,392.37488,54,59679,712,874,50000
8,20181,2477.5779198255786,8,15,0.07432733759476735,0,0,0.0,8,15,0.07432733759476735,1,2095.0,2094,2095,2095,2095,50000,392.27556,53,53375,736,848,50000
9,19103,2617.3899387533755,8,18,0.09422603779511071,0,0,0.0,8,18,0.09422603779511071,1,2537.0,2536,2537,2537,2537,50000,371.24288,54,47423,677,822,50000
10,19967,2504.1318174988733,8,22,0.11018179996995041,0,0,0.0,8,22,0.11018179996995041,1,2589.0,2588,2589,2589,2589,50000,387.74136,53,59903,707,872,50000
